Sample,Time(S),CH1(V),CH2(V)
628,-7.564,0.113025,-0.0732059
629,-7.563,0.113025,-0.0732059
630,-7.562,0.113025,-0.0732059
631,-7.561,0.113025,-0.0732059
632,-7.56,0.113025,-0.0732059
633,-7.559,0.113025,-0.0732059
634,-7.558,0.113025,-0.0732059
635,-7.557,0.113025,-0.0732059
636,-7.556,0.113025,-0.0732059
637,-7.555,0.113025,-0.0732059
638,-7.554,0.113025,-0.0732059
639,-7.553,0.113025,-0.0732059
640,-7.552,0.113025,-0.0732059
641,-7.551,0.113025,-0.0732059
642,-7.55,0.113025,-0.0732059
643,-7.549,0.113025,-0.0732059
644,-7.548,0.113025,-0.0732059
645,-7.547,0.113025,-0.0732059
646,-7.546,0.113025,-0.0732059
647,-7.545,0.113025,-0.0732059
648,-7.544,0.113025,-0.0732059
649,-7.543,0.113025,-0.0732059
650,-7.542,0.113025,-0.0732059
651,-7.541,0.113025,-0.0732059
652,-7.54,0.113025,-0.0732059
653,-7.539,0.113025,-0.0732059
654,-7.538,0.113025,-0.0732059
655,-7.537,0.113025,-0.0732059
656,-7.536,0.113025,-0.0732059
657,-7.535,0.113025,-0.0732059
658,-7.534,0.113025,-0.0732059
659,-7.533,0.113025,-0.0732059
660,-7.532,0.113025,-0.0732059
661,-7.531,0.113025,-0.0732059
662,-7.53,0.113025,-0.0732059
663,-7.529,0.113025,-0.0732059
664,-7.528,0.113025,-0.0732059
665,-7.527,0.113025,-0.0732059
666,-7.526,0.113025,-0.0732059
667,-7.525,0.113025,-0.0732059
668,-7.524,0.113025,-0.0732059
669,-7.523,0.113025,-0.0732059
670,-7.522,0.113025,-0.0732059
671,-7.521,0.113025,-0.0732059
672,-7.52,0.113025,-0.0732059
673,-7.519,0.113025,-0.0732059
674,-7.518,0.113025,-0.0732059
675,-7.517,0.113025,-0.0732059
676,-7.516,0.113025,-0.0732059
677,-7.515,0.113025,-0.0732059
678,-7.514,0.113025,-0.0732059
679,-7.513,0.113025,-0.0732059
680,-7.512,0.113025,-0.0732059
681,-7.511,0.113025,-0.0732059
682,-7.51,0.113025,-0.0732059
683,-7.509,0.113025,-0.0732059
684,-7.508,0.113025,-0.0732059
685,-7.507,0.113025,-0.0732059
686,-7.506,0.113025,-0.0732059
687,-7.505,0.113025,-0.0732059
688,-7.504,0.113025,-0.0732059
689,-7.503,0.113025,-0.0732059
690,-7.502,0.113025,-0.0732059
691,-7.501,0.113025,-0.0732059
